class,BL,BH,ML,BCL,CCB1,CC,CCB2,b
Q285,0.832833333,0.811166667,0.181166667,0.900666667,0.060166667,0.257833333,0.039,HH
Q286,0.7975,0.917666667,0.155666667,0.877833333,0.056666667,0.232833333,0.0335,HH
Q287,0.725,0.786833333,NaN,0.7825,0.057333333,0.250666667,0.033333333,HH
Q288,0.7135,0.905666667,0.199833333,0.848833333,0.058,0.290166667,0.037333333,HH
Q289,0.745,0.87,0.223333333,0.803,0.057,0.2795,0.038833333,HH
Q290,0.7015,0.857333333,0.197166667,0.828166667,0.058666667,0.286333333,0.033833333,HH
Q291,0.768666667,0.808833333,0.168166667,0.863166667,0.061166667,0.308333333,NaN,HH
Q292,0.537833333,0.700333333,0.153833333,0.563333333,0.0525,0.274166667,NaN,HH
Q293,0.620666667,0.805833333,0.184833333,0.699166667,0.062833333,0.2725,0.0395,HH
Q294,0.763,0.7075,0.125,0.760666667,0.060333333,0.232,NaN,HH
Q295,0.824833333,1.022666667,0.225,0.912166667,0.060666667,0.282833333,0.032833333,HH
Q296,0.64,0.844166667,0.208333333,0.6995,0.056666667,0.267333333,0.045833333,HH
Q297,0.880666667,0.902833333,0.232333333,0.88,0.060666667,0.225666667,0.0315,HH
Q298,0.888166667,0.962166667,0.191166667,0.996166667,0.058166667,0.283333333,NaN,HH
Q299,0.858333333,0.914833333,0.221166667,0.923333333,0.059833333,0.2585,0.033,HH
Q300,0.778333333,0.857666667,0.1875,0.827333333,0.059333333,0.278166667,NaN,HH
Q301,0.766166667,0.8875,0.216,0.924666667,0.06,0.248166667,0.035666667,HH
Q302,0.615833333,0.698333333,0.179333333,0.659666667,0.055666667,0.2725,NaN,HH
Q303,0.637833333,0.795833333,NaN,0.651166667,0.050333333,0.2295,0.034333333,HH
Q304,0.6605,0.774833333,0.1685,0.7105,0.058,0.243833333,NaN,HH
Q305,0.696166667,0.8485,0.216666667,0.746833333,0.056333333,0.296166667,0.043666667,HH
Q306,0.831,0.992666667,0.2545,0.976166667,0.0655,0.295,NaN,HH
Q307,0.720166667,0.839833333,0.208166667,0.819,0.055666667,0.2935,0.038833333,HH
Q308,0.740666667,0.854833333,0.196333333,0.8305,0.0545,0.259666667,0.037,HH
Q309,0.6045,0.7095,NaN,0.716833333,0.0555,0.245,0.032333333,HH
Q310,0.581666667,0.636666667,0.163833333,0.594,0.054333333,0.2505,NaN,HH
Q311,0.641333333,0.723666667,0.1625,0.737833333,0.061,0.239833333,0.0305,HH
Q312,0.629833333,0.738833333,0.157666667,0.717,0.052,0.24,0.036,HH
Q313,0.798333333,0.9725,0.199666667,0.892166667,0.059333333,0.249833333,NaN,HH
Q314,0.7145,0.760166667,0.190833333,0.8135,0.056,0.261,0.039,HH
Q315,0.789,0.802666667,0.180166667,0.883666667,0.054833333,0.276666667,0.0345,HH
Q316,0.623166667,0.816833333,0.138833333,0.781,0.062166667,0.237333333,0.036166667,HH
Q317,0.699,0.8005,0.149166667,0.711666667,0.0595,0.268,0.036333333,HH
Q318,0.605666667,0.747166667,0.1625,0.673166667,0.053166667,0.2525,0.035666667,HH
Q319,0.693833333,0.8355,0.163166667,0.7695,0.061,0.282166667,NaN,HH
Q320,0.609666667,0.700166667,NaN,0.693833333,0.053666667,0.248333333,0.033666667,HH
Q321,0.762,0.962833333,0.199,0.911833333,0.063166667,0.32,0.039833333,HH
Q322,0.78,0.872833333,0.191666667,0.875666667,0.061,0.268,0.038666667,HH
Q323,0.788666667,0.809,0.161333333,0.8355,0.060666667,0.2995,0.039666667,HH
Q324,0.608333333,0.811333333,0.1905,0.723833333,0.0585,0.255833333,0.037166667,HH
Q325,0.889833333,0.991333333,0.1615,0.937666667,0.061166667,0.306833333,0.039,HH
Q326,0.8065,0.837833333,0.1605,0.896666667,0.063833333,0.239,0.036166667,HH
Q327,0.800166667,0.879,0.212333333,0.901833333,0.063,0.2545,NaN,HH
Q328,0.638666667,0.823666667,0.220166667,0.692666667,0.057333333,0.243333333,0.0345,HH
Q329,0.843,0.843166667,0.1655,0.911166667,0.063833333,0.272333333,0.035666667,HH
Q330,0.713166667,0.812,0.144,0.772333333,0.053333333,0.263166667,0.039,HH
Q331,0.759166667,0.8465,0.183,0.890833333,0.059166667,0.297833333,0.039666667,HH
Q332,0.624166667,0.790166667,0.154,0.795,0.061666667,0.253166667,0.041666667,HH
Q333,0.584,0.842166667,0.143333333,0.6705,0.061,0.303833333,NaN,HH
LR1,0.732333333,0.843333333,0.181,0.785333333,0.054166667,0.216166667,NaN,MW
LR2,0.772,0.8075,0.188166667,0.834,0.060166667,0.318333333,0.035333333,MW
LR3,0.841833333,0.8575,0.202666667,0.916666667,0.053,0.342166667,0.033666667,MW
LR4,0.8705,0.879833333,0.1955,0.916166667,0.047333333,0.248,0.029666667,MW
LR5,0.817333333,0.847,0.180166667,0.861,0.0545,0.2945,0.038,MW
LR6,0.777666667,0.825666667,0.235333333,0.803833333,0.055666667,0.283833333,0.032666667,MW
LR7,0.813666667,0.874166667,0.203333333,0.839166667,0.0485,0.294,0.035833333,MW
LR8,0.831333333,0.947666667,0.213333333,0.854666667,0.054666667,0.385833333,0.037166667,MW
LR9,0.755,0.841833333,0.2295,0.844166667,0.048833333,0.3415,0.034166667,MW
LR10,0.810833333,0.906,0.221666667,0.858666667,0.055,0.373666667,0.038666667,MW
LR11,0.924833333,1.074166667,0.151666667,0.976833333,0.065,0.4095,0.051166667,MW
LR12,0.726166667,0.8485,0.2335,0.8525,0.0545,0.394166667,0.04,MW
LR13,0.906333333,0.953,0.250833333,0.946166667,0.055833333,0.357,0.037333333,MW
LR14,0.918,0.956833333,0.162833333,0.978166667,0.058333333,0.363833333,0.049833333,MW
LR15,0.912333333,0.967166667,0.188333333,0.970833333,0.057666667,0.3075,0.034166667,MW
LR16,0.7915,0.904333333,0.244333333,0.838,0.055333333,0.3485,0.041666667,MW
LR17,0.822,0.869166667,0.220166667,0.874833333,0.057166667,0.336666667,0.034,MW
LR18,0.6995,0.853333333,0.192666667,0.8145,0.055166667,0.302833333,0.037,MW
LR19,0.834333333,0.914166667,0.188666667,0.886333333,0.056,0.374166667,0.037,MW
LR20,0.9045,0.9275,0.189,0.971166667,0.058666667,0.276166667,0.032333333,MW
LR21,0.8735,0.940833333,0.1805,0.935333333,0.049,0.341666667,0.0315,MW
LR22,0.767666667,0.873166667,0.1595,0.880666667,0.051833333,0.347833333,0.036333333,MW
LR23,0.808,0.928666667,0.149833333,0.918833333,0.058666667,0.329,0.044166667,MW
LR24,0.753333333,0.872666667,0.201166667,0.860666667,0.0465,0.325166667,0.032833333,MW
LR25,0.816,0.885333333,0.270666667,0.894666667,0.056,0.370833333,0.034666667,MW
LR26,0.819166667,0.8915,0.244166667,0.872833333,0.055666667,0.3055,0.033333333,MW
LR27,0.808166667,0.880333333,0.225166667,0.846,0.054166667,0.337666667,0.035166667,MW
LR28,0.7705,0.876166667,0.174833333,0.8705,0.053833333,0.3215,0.036166667,MW
Q478,0.72085,0.795608,NaN,0.784299,NaN,NaN,0.043848333,YS
Q401,1.210006667,1.521953333,NaN,1.210006667,NaN,NaN,NaN,YS
Q402,0.585818333,0.793441667,NaN,0.630526667,NaN,NaN,0.052541667,YS
Q403,0.62123,0.74779,NaN,0.720276667,0.054916667,0.190068333,0.029455,YS
Q404,0.601339167,0.789671667,NaN,0.6480625,0.018606667,0.146766667,0.038285,YS
Q405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YS
Q406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YS
Q407,0.554905,0.777235,NaN,0.59211,NaN,NaN,0.039363333,YS
Q408,0.538405,0.699616667,NaN,0.556908333,0.076276667,0.33919,0.058525,YS
Q409,0.625561667,0.928345,NaN,0.691013333,0.01467,0.153166667,0.035306667,YS
Q410,0.645526667,0.89202,NaN,0.699135,0.016076667,0.113175,0.023668333,YS
Q411,0.501511667,0.688306667,NaN,0.504811667,0.052536667,0.18919,0.017323333,YS
Q412,0.827428333,1.138038333,NaN,0.868665,NaN,0.219918333,0.017028333,YS
Q413,0.629831667,0.84321,NaN,0.661885,0.053066667,0.277036667,0.042796667,YS
Q414,0.643188333,0.953096667,NaN,0.690226667,NaN,NaN,0.036566667,YS
Q415,0.790418333,0.938478333,NaN,0.867101667,NaN,NaN,0.050976667,YS
Q416,0.860578333,0.911631667,NaN,0.915728333,0.024506667,0.214386667,0.041276667,YS
Q417,0.5981,0.784811667,NaN,0.635248333,0.035946667,0.200528333,0.045853333,YS
Q418,1.007666667,1.153886667,NaN,1.031581667,NaN,NaN,0.046283333,YS
Q419,0.808778333,0.95364,NaN,0.822348333,NaN,NaN,0.054393333,YS
Q420,1.108323333,0.970331667,NaN,1.153281667,NaN,NaN,0.04411,YS
Q421,0.7628,0.775358333,NaN,0.779786667,NaN,NaN,0.03374,YS
Q422,0.754723333,0.781315,NaN,0.794798333,0.015193333,0.24911,0.036253333,YS
Q423,0.839098333,1.197946667,NaN,0.908066667,NaN,NaN,NaN,YS
Q424,0.905826667,1.112326667,NaN,0.953625,NaN,NaN,NaN,YS
Q425,0.756775,1.059766667,NaN,0.812081667,NaN,NaN,0.04552,YS
Q426,0.732693333,0.853511667,NaN,0.750035,NaN,NaN,0.03564,YS
Q427,0.627905,0.910048333,NaN,0.72055,NaN,NaN,0.045853333,YS
Q428,1.062101667,1.052246667,NaN,1.12648,NaN,NaN,0.043923333,YS
Q429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YS
Q430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YS
Q431,1.015955,1.069576667,NaN,1.027893333,NaN,NaN,NaN,YS
