class,BL,BH,ML,BCL,CCB1,CC,CCB2,b
Q212,0.8035,0.851666667,0.159,0.8775,0.050833333,0.2775,0.0355,HH
Q213,0.669666667,0.704166667,0.129166667,0.6945,0.052666667,0.247,0.033166667,HH
Q214,0.64,0.7425,0.151166667,0.652833333,0.057833333,0.267166667,0.039833333,HH
Q215,0.800666667,0.847,0.178333333,0.847166667,0.0595,0.265833333,0.034166667,HH
Q216,0.650166667,0.7435,0.123166667,0.68,0.051833333,0.251,NaN,HH
Q217,0.722666667,0.8325,NaN,0.764666667,0.063833333,0.249666667,0.035333333,HH
Q218,0.702666667,0.810833333,0.119833333,0.764333333,0.0545,0.269333333,NaN,HH
Q219,0.5885,0.678,0.1365,0.641666667,0.049333333,0.243666667,0.0385,HH
Q220,0.772333333,0.891833333,0.256,0.803333333,0.051166667,0.316666667,0.029666667,HH
Q221,0.729833333,0.906333333,0.234833333,0.820666667,0.058333333,0.293333333,0.036833333,HH
Q222,0.773,0.907,0.200166667,0.8705,0.064833333,0.3165,0.039166667,HH
Q223,0.728833333,0.826666667,0.119833333,0.7995,0.050833333,0.2695,0.032166667,HH
Q224,0.712166667,0.926166667,0.226166667,0.799166667,NaN,0.238833333,0.034,HH
Q225,0.867166667,0.846333333,0.188833333,0.985166667,0.054,0.2845,0.037,HH
Q226,0.8645,0.855666667,0.163166667,0.977166667,0.060333333,0.274333333,0.042,HH
Q227,0.825333333,0.836166667,0.191166667,0.958666667,0.051833333,0.2225,0.030666667,HH
Q228,0.796166667,0.815,0.168166667,0.828333333,0.056833333,0.264166667,0.034833333,HH
Q229,0.788166667,0.9525,0.2085,0.8875,0.056333333,0.277333333,NaN,HH
Q230,0.876166667,0.943666667,0.159,0.931833333,0.060333333,0.329666667,0.032166667,HH
Q231,0.755666667,0.869666667,0.196166667,0.780333333,0.060833333,0.289,NaN,HH
Q232,0.777833333,0.923666667,0.1915,0.859333333,0.069,0.314666667,NaN,HH
Q233,0.796333333,0.835833333,0.19,0.853333333,0.058166667,0.277333333,0.036333333,HH
Q234,0.746,0.847666667,0.188166667,0.857833333,0.058166667,0.238,0.033166667,HH
Q235,0.873,0.913833333,0.1745,0.933833333,0.060666667,0.291333333,0.032166667,HH
Q236,0.776166667,0.843333333,0.175,0.8335,0.052833333,0.273,0.036666667,HH
Q237,0.671833333,0.821666667,0.179833333,0.7875,0.057666667,0.272,0.039,HH
Q238,0.697333333,0.784333333,0.196333333,0.773166667,0.0495,0.306833333,0.033833333,HH
Q239,0.5165,0.72,0.160666667,0.537666667,0.0445,0.259666667,0.036833333,HH
Q240,0.744833333,0.933833333,0.236166667,0.841166667,0.059166667,0.297166667,0.037,HH
Q241,0.668833333,0.802333333,0.183333333,0.775333333,0.050833333,0.3055,0.035833333,HH
Q242,0.7575,0.7915,0.135833333,0.898,0.0545,0.253333333,NaN,HH
Q243,0.789166667,0.926,0.22,0.931166667,0.056,0.264833333,NaN,HH
Q244,0.793,0.820333333,0.202,0.827833333,0.0605,0.242666667,0.0325,HH
Q245,0.732,0.9245,0.228333333,0.774833333,0.057166667,0.273,0.032666667,HH
Q246,0.716333333,0.868833333,0.1835,0.788833333,0.056,0.256166667,0.034166667,HH
Q247,0.730833333,0.920666667,0.221666667,0.829166667,0.067833333,0.279166667,0.039,HH
Q248,0.712333333,0.812,0.175283333,0.8205,0.0505,0.2805,NaN,HH
Q249,0.903166667,1.019166667,0.228166667,0.958166667,0.058166667,0.257166667,0.030833333,HH
Q250,0.768,0.8375,0.1755,0.791,0.055833333,0.301833333,NaN,HH
Q251,0.835333333,0.988833333,0.195,0.960333333,0.064,0.237833333,0.0305,HH
Q252,0.595,0.771666667,0.133166667,0.637,0.063166667,0.25,0.040666667,HH
Q253,0.7745,0.865166667,0.216166667,0.899166667,0.063833333,0.289666667,NaN,HH
Q254,0.817666667,0.921,0.1915,0.891,0.060166667,0.266333333,NaN,HH
Q255,0.76,0.891166667,0.202,0.825166667,0.066833333,0.254666667,0.0345,HH
Q256,0.752833333,0.891333333,0.193,0.847833333,0.059333333,0.2425,NaN,HH
Q257,0.7585,0.863833333,0.169,0.8295,0.056166667,0.253166667,NaN,HH
Q258,0.873666667,1.084,0.215166667,0.988666667,0.063333333,0.335666667,0.043,HH
Q259,0.842833333,1.016833333,0.216166667,0.987166667,0.0655,0.257333333,0.035,HH
Q260,0.940166667,1.0125,0.245833333,1.0185,NaN,0.2755,0.035833333,HH
Q261,1.054666667,0.9785,0.197333333,1.098166667,0.063,0.3025,0.039166667,HH
Q262,0.564166667,0.7535,0.125833333,0.6475,0.0585,0.228333333,0.0385,HH
Q263,0.670166667,0.785833333,0.130833333,0.814666667,0.060166667,0.234,0.038,HH
Q264,0.596333333,0.805666667,0.185,0.656833333,0.0575,0.207333333,0.032166667,HH
Q265,0.780666667,0.937333333,0.2065,0.943333333,0.058666667,0.2445,0.030333333,HH
Q266,0.5655,0.692,0.17,0.635333333,0.0485,0.209833333,NaN,HH
Q267,0.605333333,0.699333333,0.1365,0.725666667,0.053666667,0.219833333,0.03,HH
Q268,0.806333333,0.845833333,0.1505,0.890333333,0.058,0.296833333,0.033166667,HH
Q269,0.716833333,0.786166667,0.147666667,0.8545,0.0595,0.191333333,0.023666667,HH
Q270,0.621,0.815,0.152166667,0.693,0.051166667,0.258833333,0.028833333,HH
Q271,0.669833333,0.887833333,0.176333333,0.7705,0.049833333,0.248166667,0.0305,HH
Q272,0.815833333,0.911833333,0.1725,0.842,0.0585,0.255666667,0.035,HH
Q273,0.701,0.823333333,0.18,0.813,0.0595,0.238833333,0.034333333,HH
Q274,0.766333333,0.853166667,0.143666667,0.8095,0.054833333,0.2525,0.036,HH
Q275,0.667166667,0.788333333,0.168,0.719,0.050166667,0.261166667,0.0355,HH
Q276,0.7595,0.841,0.1875,0.773,0.061333333,0.2615,0.041166667,HH
Q277,0.703,0.832666667,NaN,0.808833333,0.0525,0.289166667,NaN,HH
Q278,0.7905,0.928166667,0.226,0.963833333,0.062833333,0.3095,0.041833333,HH
Q279,0.6755,0.785833333,0.1515,0.738333333,0.057333333,0.239333333,0.033166667,HH
Q280,0.789,0.904666667,0.207166667,0.85,0.0545,0.2375,0.030666667,HH
Q281,0.704666667,0.8535,0.201666667,0.812333333,0.051166667,0.325666667,0.039166667,HH
Q282,0.711333333,0.785666667,0.143166667,0.889666667,0.061666667,0.251333333,0.033666667,HH
Q283,0.6885,0.8005,NaN,0.765666667,0.056166667,0.271833333,NaN,HH
Q284,0.752,0.826666667,0.227333333,0.793833333,0.059333333,0.316666667,NaN,HH
